transaction_id,customer_id,transaction_time,transaction_made_at,approved_by
3663302024,5187,3-29-22 3:55,Rutherford-Gorczany,90374
8935076071,907,6-9-22 8:32,Olson-Weimann,19718
2319024255,20547,6-13-22 14:33,Morar-Zboncak,92358
9086946558,14328,5-4-22 8:15,Swift Inc,11117
4735952818,6577,1-11-23 13:00,Osinski LLC,65602
8912869426,3183,4-29-22 18:26,Lindgren-Mayert,60411
2163447774,25959,3-16-22 0:23,Anderson and Sons,84016
9788828651,29167,12-5-22 2:47,"Schowalter, Zemlak and Stanton",41144
8999842173,70377,8-10-22 13:45,"Heathcote, Ullrich and Sipes",48215
3491979963,99959,6-27-22 12:53,Borer-Mayert,61644
972729177,72882,3-11-22 2:21,"Johnson, Lynch and Pacocha",73254
2514887602,17028,5-18-22 21:00,Osinski LLC,62426
8677581104,41248,5-25-22 7:25,Reichert-Hilpert,85833
4029615282,75958,5-21-22 9:35,"Pfeffer, Fahey and Carter",26529
4618450699,62966,11-20-22 19:43,Goyette Inc,96820
3974723254,329,9-25-22 5:46,Rowe-Ratke,7081
3722959298,7432,2-13-23 19:43,"Rodriguez, Gorczany and Padberg",53249
7412624581,7617,7-11-22 2:08,Durgan Inc,5331
3249783976,66572,12-22-22 3:34,Reynolds-Ullrich,67675
3999091858,58374,5-21-22 20:44,Schmitt Group,40740
9020904108,19743,12-27-22 22:40,Streich-Glover,1653
6002457408,43399,2-28-23 10:37,"Cassin, Altenwerth and Rosenbaum",48085
4161554688,94692,10-6-22 17:34,Tillman LLC,55443
1473835583,78533,7-28-22 6:21,Rosenbaum LLC,74435
1972670179,24647,8-20-22 17:23,Mraz LLC,69094
5002813672,43466,11-19-22 3:13,"Lindgren, Stoltenberg and Heathcote",21686
4118048982,43677,7-17-22 14:47,Koelpin and Sons,30244
8853066049,79545,1-9-23 9:39,Baumbach LLC,16089
1118593133,68047,5-12-22 3:12,Mueller Inc,97573
246417928,58395,10-16-22 8:46,"Hintz, Lubowitz and Barton",82135
2406216804,53226,3-24-22 9:59,"Botsford, Schoen and Hand",49709
31570642,84503,10-5-22 18:07,Stanton-Bogisich,44475
7154735043,85698,9-18-22 18:52,Gerlach-Grady,26664
112812814,87712,5-19-22 20:19,"Reinger, Donnelly and Conn",92937
1584326963,85218,7-4-22 1:14,"Cremin, Connelly and Schamberger",2162
5873881352,42141,7-23-22 0:33,Carroll LLC,80269
5570226448,43710,4-1-22 10:24,Mueller-Ziemann,43457
